UniqueCount	AmbigCount
0	5
0	2
0	2
0	2
3	0
1	0
825	0
0	12
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
18	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	18
0	18
0	18
0	0
0	0
0	0
0	0
0	0
0	40
0	40
0	40
0	0
0	0
6	0
0	0
0	0
0	0
0	1
0	2
0	2
0	1
0	0
0	0
0	0
0	0
0	9
0	10
0	10
0	0
0	0
0	2
0	2
0	2
0	2
0	1
0	1
0	1
0	1
2	0
0	0
59	0
0	21
0	21
74	0
0	33
1	33
50	0
0	68
0	69
0	69
0	69
0	69
12	0
0	31
0	31
0	0
0	0
0	1
12	1
0	0
26	0
1	0
29	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	3
0	3
0	0
0	0
0	0
0	0
0	9
0	9
0	0
6	0
21	0
0	0
0	0
0	2
0	2
10	0
41	0
0	0
0	1
0	1
0	0
0	0
68	0
0	15
0	11
0	15
0	11
0	15
0	0
0	0
0	22
0	22
0	0
0	0
0	0
20	0
57	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
5	187
0	187
0	0
0	0
0	0
12	0
0	0
0	13
0	14
0	13
0	19
0	12
0	16
0	12
0	17
0	10
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	1
0	2
0	1
0	0
4	0
3	0
25	0
8	0
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
4	0
30	0
0	0
0	45
1	45
0	7
0	2
0	0
0	0
0	0
0	2
0	2
0	2
0	0
4	0
0	0
0	9
0	15
0	27
0	33
0	15
41	0
33	0
6	0
0	9
0	9
0	0
0	0
1	0
101	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	13
4	2
0	2
0	5
0	5
0	1
0	0
1	0
0	0
0	1
0	1
4	0
0	5
0	5
0	5
0	21
11	0
0	21
14	0
17	0
0	0
1	0
0	0
0	0
0	0
3	0
0	4
0	4
0	4
0	0
0	3
0	3
0	2
3	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
7	4
0	4
0	0
0	0
41	0
1	0
0	0
0	0
0	0
1	0
0	0
4	0
0	9
0	9
0	0
0	0
0	0
47	0
0	0
7	0
0	0
0	0
0	0
1	0
61	0
0	0
0	0
0	1
0	1
0	0
0	2
0	2
0	2
22	0
2	0
1	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
3	0
27	0
2	0
192	0
59	0
1	14
0	14
98	0
21	0
130	0
0	1
0	1
0	0
0	36
0	36
0	36
0	94
0	94
1	7
0	7
0	7
3	5
0	5
0	2
0	0
0	1
0	0
0	0
0	14
0	14
0	12
0	12
0	8
1	2
0	2
0	97
0	99
5	82
0	82
13	17
0	17
0	0
0	0
0	0
0	0
0	0
786	0
10	0
0	1
1	1
0	1
0	0
0	0
0	0
2	0
326	0
96	0
78	0
0	1
0	1
39	0
0	0
2	0
0	0
0	108
0	108
0	108
0	7
0	7
1	0
39	0
18	0
10	0
79	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
33	0
0	0
18	0
0	0
7	0
16	0
12	0
154	0
1	0
0	0
0	0
10	0
0	0
0	0
0	0
5	73
0	73
1	0
1	0
11	0
2	0
0	1
0	1
44	1
0	1
4	0
0	2
2	2
1	2
0	0
1	0
0	0
9	1
0	1
0	1
0	68
0	68
13	0
0	0
39	5
0	0
0	5
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
51	0
16	0
69	0
11	12
3	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
1	2
1	2
0	2
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
9	0
0	20
0	20
0	0
0	0
0	0
0	0
0	0
0	0
11	0
24	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
30	0
4	0
3	1
0	1
8	0
0	0
